iter	Passed	Remaining
143	487	2895
144	489	2888
145	492	2881
146	495	2876
147	498	2869
148	501	2862
149	503	2855
150	506	2848
151	509	2841
152	512	2835
153	514	2828
154	517	2822
155	520	2815
156	522	2805
157	525	2801
158	528	2795
159	531	2788
160	533	2782
161	536	2776
162	539	2770
163	542	2766
164	545	2760
165	548	2754
166	550	2748
167	553	2742
168	556	2735
169	559	2733
170	562	2728
171	565	2722
172	568	2716
173	570	2709
174	573	2703
175	576	2698
176	579	2693
177	582	2688
178	584	2683
179	587	2676
180	590	2671
181	593	2668
182	596	2663
183	599	2657
184	602	2652
185	604	2647
186	608	2645
187	612	2643
188	615	2640
189	617	2634
190	620	2628
191	623	2624
192	626	2620
193	629	2616
194	634	2621
195	638	2617
196	641	2615
197	644	2610
198	647	2605
199	650	2600
200	652	2595
201	655	2591
202	658	2586
203	661	2581
204	664	2576
205	666	2570
206	669	2564
207	672	2559
208	675	2554
209	677	2550
210	680	2544
211	683	2539
212	686	2534
213	689	2531
214	692	2527
215	695	2522
216	697	2518
217	701	2515
218	704	2510
219	706	2506
220	709	2501
221	712	2497
222	715	2492
223	717	2487
224	721	2484
225	724	2479
226	727	2475
227	729	2471
228	732	2467
229	736	2464
230	739	2463
231	742	2458
232	745	2454
233	748	2450
234	751	2445
235	754	2442
236	756	2434
237	759	2430
238	761	2425
239	763	2418
240	766	2413
241	769	2409
242	772	2406
243	775	2401
244	777	2397
245	780	2393
246	783	2388
247	786	2384
248	789	2380
249	792	2376
250	794	2371
251	797	2367
252	800	2362
253	804	2362
254	807	2360
255	810	2355
256	813	2350
257	815	2346
258	819	2343
259	822	2340
260	825	2337
261	828	2333
262	831	2328
263	834	2326
264	837	2321
265	840	2318
266	842	2313
267	845	2309
268	848	2304
269	851	2301
270	853	2297
271	856	2293
272	859	2288
273	862	2284
274	864	2280
275	867	2276
276	870	2272
277	873	2267
278	875	2263
279	878	2259
280	881	2254
281	884	2250
282	886	2246
283	889	2242
284	892	2238
285	894	2234
286	897	2230
287	900	2226
288	902	2220
289	905	2215
290	907	2211
291	910	2207
292	912	2202
293	915	2198
294	918	2194
295	921	2190
296	923	2186
297	926	2182
298	929	2178
299	932	2174
300	934	2170
301	937	2166
302	939	2161
303	942	2157
304	944	2153
305	948	2150
306	951	2146
307	953	2142
308	956	2138
309	959	2134
310	961	2131
311	965	2128
312	967	2124
313	970	2120
314	973	2115
315	975	2111
316	978	2107
317	981	2104
318	983	2100
319	986	2096
320	989	2092
321	992	2088
322	995	2085
323	998	2083
324	1001	2079
325	1004	2075
326	1006	2072
327	1009	2068
328	1012	2065
329	1016	2063
330	1019	2060
331	1022	2057
332	1025	2053
333	1029	2052
334	1032	2049
335	1035	2046
336	1039	2045
337	1044	2045
338	1047	2042
339	1051	2040
340	1054	2037
341	1057	2034
342	1060	2032
343	1063	2028
344	1067	2025
345	1069	2022
346	1072	2018
347	1076	2016
348	1079	2013
349	1082	2010
350	1085	2007
351	1088	2004
352	1091	2001
353	1095	1998
354	1098	1995
355	1101	1991
356	1103	1988
357	1106	1984
358	1109	1981
359	1112	1977
360	1115	1973
361	1117	1970
362	1120	1966
363	1123	1963
364	1127	1961
365	1129	1957
366	1132	1953
367	1135	1949
368	1138	1946
369	1141	1943
370	1144	1940
371	1147	1936
372	1149	1932
373	1152	1928
374	1155	1925
375	1158	1922
376	1161	1919
377	1164	1915
378	1166	1911
379	1169	1908
380	1172	1905
381	1175	1902
382	1178	1898
383	1181	1894
384	1183	1891
385	1186	1887
386	1190	1886
387	1194	1883
388	1196	1879
389	1199	1876
390	1202	1872
391	1205	1870
392	1208	1867
393	1212	1864
394	1214	1860
395	1217	1857
396	1220	1853
397	1223	1850
398	1226	1847
399	1229	1843
400	1231	1840
401	1234	1836
402	1238	1834
403	1242	1832
404	1244	1828
405	1247	1824
406	1249	1821
407	1252	1817
408	1255	1814
409	1258	1810
410	1261	1807
411	1263	1803
412	1266	1800
413	1269	1796
414	1272	1793
415	1275	1790
416	1277	1786
417	1280	1783
418	1283	1779
419	1286	1776
420	1288	1772
421	1291	1769
422	1294	1765
423	1297	1762
424	1300	1758
425	1303	1755
426	1305	1752
427	1308	1749
428	1311	1745
429	1314	1742
430	1317	1738
431	1319	1735
432	1322	1732
433	1325	1728
434	1328	1725
435	1331	1721
436	1334	1719
437	1337	1715
438	1339	1712
439	1342	1708
440	1345	1705
441	1348	1701
442	1351	1699
443	1354	1695
444	1356	1692
445	1359	1688
446	1362	1685
447	1365	1682
448	1368	1679
449	1371	1675
450	1373	1672
451	1376	1669
452	1379	1665
453	1382	1662
454	1386	1660
455	1389	1657
456	1391	1653
457	1393	1649
458	1396	1646
459	1400	1644
460	1403	1641
461	1408	1640
462	1412	1637
463	1415	1634
464	1418	1631
465	1420	1628
466	1423	1624
467	1426	1621
468	1429	1618
469	1432	1615
470	1435	1612
471	1438	1608
472	1441	1605
473	1443	1602
474	1446	1599
475	1449	1595
476	1452	1592
477	1455	1589
478	1457	1585
479	1460	1582
480	1463	1579
481	1466	1576
482	1469	1573
483	1472	1569
484	1475	1566
485	1477	1562
486	1480	1559
487	1483	1556
488	1485	1552
489	1488	1549
490	1491	1546
491	1494	1542
492	1496	1539
493	1499	1535
494	1502	1532
495	1504	1529
496	1507	1525
497	1510	1522
498	1513	1519
499	1515	1515
500	1518	1512
501	1521	1509
502	1523	1505
503	1526	1502
504	1529	1499
505	1532	1496
506	1535	1492
507	1537	1489
508	1540	1486
509	1543	1482
510	1546	1479
511	1549	1476
512	1551	1473
513	1554	1469
514	1557	1466
515	1560	1463
516	1563	1460
517	1565	1457
518	1568	1453
519	1571	1450
520	1574	1447
521	1577	1444
522	1580	1441
523	1583	1438
524	1586	1434
525	1588	1431
526	1591	1428
527	1594	1425
528	1598	1422
529	1601	1420
530	1604	1416
531	1606	1413
532	1609	1410
533	1612	1407
534	1615	1404
535	1618	1400
536	1620	1397
537	1623	1394
538	1626	1391
539	1629	1388
540	1632	1384
541	1635	1381
542	1637	1378
543	1640	1375
544	1643	1372
545	1646	1369
546	1649	1366
547	1652	1362
548	1654	1359
549	1658	1356
550	1660	1353
551	1663	1350
552	1666	1347
553	1669	1343
554	1671	1340
555	1674	1337
556	1677	1334
557	1680	1330
558	1682	1327
559	1685	1324
560	1688	1321
561	1690	1317
562	1693	1314
563	1696	1311
564	1699	1308
565	1701	1304
566	1704	1301
567	1707	1298
568	1710	1295
569	1712	1292
570	1715	1288
571	1718	1285
572	1720	1282
573	1723	1279
574	1726	1276
575	1729	1272
576	1731	1269
577	1734	1266
578	1737	1263
579	1740	1260
580	1743	1257
581	1745	1253
582	1748	1250
583	1751	1247
584	1754	1244
585	1756	1241
586	1759	1238
587	1762	1234
588	1765	1231
589	1767	1228
590	1771	1225
591	1774	1223
592	1777	1219
593	1780	1216
594	1783	1213
595	1785	1210
596	1789	1207
597	1792	1205
598	1795	1201
599	1798	1198
600	1801	1195
601	1804	1192
602	1807	1189
603	1809	1186
604	1812	1183
605	1815	1180
606	1818	1177
607	1821	1174
608	1824	1171
609	1827	1168
610	1830	1165
611	1832	1162
612	1836	1159
613	1838	1156
614	1841	1152
615	1844	1149
616	1847	1146
617	1850	1143
618	1853	1140
619	1856	1137
620	1859	1134
621	1861	1131
622	1864	1128
623	1867	1125
624	1870	1122
625	1873	1119
626	1876	1116
627	1878	1112
628	1881	1109
629	1884	1106
630	1887	1103
631	1890	1100
632	1892	1097
633	1895	1094
634	1898	1091
635	1901	1088
636	1904	1085
637	1907	1082
638	1909	1079
639	1912	1075
640	1915	1072
641	1918	1069
642	1921	1066
643	1924	1063
644	1926	1060
645	1929	1057
646	1932	1054
647	1935	1051
648	1938	1048
649	1941	1045
650	1944	1042
651	1946	1039
652	1949	1036
653	1952	1033
654	1955	1030
655	1958	1026
656	1961	1023
657	1964	1021
658	1968	1018
659	1970	1015
660	1973	1012
661	1976	1009
662	1979	1006
663	1983	1003
664	1987	1001
665	1990	998
666	1993	995
667	1996	992
668	2000	989
669	2002	986
670	2006	983
671	2008	980
672	2012	977
673	2015	974
674	2018	971
675	2021	968
676	2024	965
677	2027	962
678	2030	959
679	2033	956
680	2036	953
681	2038	950
682	2041	947
683	2044	944
684	2048	941
685	2050	938
686	2053	935
687	2056	932
688	2059	929
689	2062	926
690	2065	923
691	2067	920
692	2070	917
693	2073	914
694	2076	911
695	2079	908
696	2082	905
697	2085	902
698	2088	899
699	2091	896
700	2094	893
701	2096	890
702	2099	887
703	2102	884
704	2105	880
705	2108	877
706	2111	874
707	2114	871
708	2116	868
709	2119	865
710	2122	862
711	2125	859
712	2128	856
713	2130	853
714	2133	850
715	2136	847
716	2139	844
717	2142	841
718	2146	838
719	2148	835
720	2151	832
721	2154	829
722	2157	826
723	2160	823
724	2163	820
725	2166	817
726	2169	814
727	2172	811
728	2175	808
729	2178	805
730	2183	803
731	2187	800
732	2190	797
733	2193	794
734	2196	791
735	2198	788
736	2201	785
737	2204	782
738	2207	779
739	2210	776
740	2213	773
741	2216	770
742	2218	767
743	2221	764
744	2224	761
745	2227	758
746	2230	755
747	2233	752
748	2235	749
749	2238	746
750	2241	743
751	2244	740
752	2247	737
753	2250	734
754	2253	731
755	2255	728
756	2258	725
757	2261	722
758	2264	718
759	2267	715
760	2270	712
761	2273	710
762	2276	706
763	2278	703
764	2281	700
765	2284	697
766	2287	694
767	2290	691
768	2292	688
769	2295	685
770	2298	682
771	2301	679
772	2304	676
773	2306	673
774	2309	670
775	2312	667
776	2315	664
777	2318	661
778	2320	658
779	2323	655
780	2326	652
781	2329	649
782	2331	646
783	2335	643
784	2338	640
785	2341	637
786	2343	634
787	2346	631
788	2349	628
789	2353	625
790	2355	622
791	2358	619
792	2361	616
793	2363	613
794	2367	610
795	2370	607
796	2373	604
797	2375	601
798	2378	598
799	2381	595
800	2384	592
801	2386	589
802	2389	586
803	2392	583
804	2394	580
805	2398	577
806	2401	574
807	2403	571
808	2406	568
809	2409	565
810	2411	562
811	2414	559
812	2417	556
813	2420	553
814	2422	549
815	2425	546
816	2428	543
817	2431	540
818	2433	537
819	2436	534
820	2439	531
821	2441	528
822	2444	525
823	2447	522
824	2450	519
825	2453	516
826	2455	513
827	2458	510
828	2461	507
829	2464	504
830	2466	501
831	2469	498
832	2472	495
833	2474	492
834	2477	489
835	2480	486
836	2483	483
837	2485	480
838	2488	477
839	2491	474
840	2493	471
841	2497	468
842	2500	465
843	2503	462
844	2505	459
845	2508	456
846	2511	453
847	2514	450
848	2517	447
849	2519	444
850	2522	441
851	2525	438
852	2528	435
853	2531	432
854	2534	429
855	2537	426
856	2539	423
857	2543	420
858	2547	418
859	2550	415
860	2553	412
861	2556	409
862	2559	406
863	2562	403
864	2565	400
865	2569	397
866	2571	394
867	2574	391
868	2577	388
869	2580	385
870	2583	382
871	2586	379
872	2588	376
873	2592	373
874	2595	370
875	2598	367
876	2601	364
877	2603	361
878	2606	358
879	2609	355
880	2612	352
881	2614	349
882	2617	346
883	2620	343
884	2623	340
885	2626	337
886	2629	334
887	2632	331
888	2634	328
889	2637	325
890	2640	323
891	2643	320
892	2646	317
893	2648	314
894	2651	311
895	2654	308
896	2657	305
897	2660	302
898	2663	299
899	2665	296
900	2668	293
901	2671	290
902	2674	287
903	2677	284
904	2679	281
905	2682	278
906	2685	275
907	2688	272
908	2691	269
909	2694	266
910	2696	263
911	2699	260
912	2702	257
913	2705	254
914	2708	251
915	2711	248
916	2713	245
917	2716	242
918	2719	239
919	2722	236
920	2725	233
921	2727	230
922	2730	227
923	2733	224
924	2736	221
925	2739	218
926	2742	215
927	2745	212
928	2748	210
929	2750	207
930	2754	204
931	2757	201
932	2760	198
933	2763	195
934	2766	192
935	2769	189
936	2772	186
937	2775	183
938	2777	180
939	2780	177
940	2783	174
941	2786	171
942	2788	168
943	2791	165
944	2794	162
945	2797	159
946	2800	156
947	2803	153
948	2805	150
949	2808	147
950	2811	144
951	2814	141
952	2816	138
953	2819	135
954	2822	133
955	2825	130
956	2828	127
957	2830	124
958	2834	121
959	2837	118
960	2839	115
961	2842	112
962	2845	109
963	2848	106
964	2850	103
965	2853	100
966	2856	97
967	2859	94
968	2861	91
969	2864	88
970	2867	85
971	2870	82
972	2873	79
973	2876	76
974	2879	73
975	2882	70
976	2885	67
977	2888	64
978	2891	62
979	2894	59
980	2897	56
981	2900	53
982	2903	50
983	2906	47
984	2909	44
985	2912	41
986	2915	38
987	2918	35
988	2920	32
989	2923	29
990	2926	26
991	2929	23
992	2933	20
993	2935	17
994	2938	14
995	2941	11
996	2944	8
997	2948	5
998	2951	2
999	2956	0
